sgschooling_name,moe_school_name
PEI HWA PRESBYTERIAN,PEI HWA PRESBYTERIAN PRIMARY SCHOOL
PEI TONG,PEI TONG PRIMARY SCHOOL
PEIYING,PEIYING PRIMARY SCHOOL
PIONEER,PIONEER PRIMARY SCHOOL
POI CHING,POI CHING SCHOOL
PRINCESS ELIZABETH,PRINCESS ELIZABETH PRIMARY SCHOOL
PUNGGOL,PUNGGOL COVE PRIMARY SCHOOL
PUNGGOL COVE,PUNGGOL GREEN PRIMARY SCHOOL
PUNGGOL GREEN,PUNGGOL PRIMARY SCHOOL
PUNGGOL VIEW,PUNGGOL VIEW PRIMARY SCHOOL
QIFA,QIFA PRIMARY SCHOOL
QIHUA,QIHUA PRIMARY SCHOOL
QUEENSTOWN,QUEENSTOWN PRIMARY SCHOOL
RADIN MAS,RADIN MAS PRIMARY SCHOOL
RAFFLES GIRLS’,RAFFLES GIRLS' PRIMARY SCHOOL
RED SWASTIKA,RED SWASTIKA SCHOOL
RIVER VALLEY,RIVER VALLEY PRIMARY SCHOOL
RIVERSIDE,RIVERSIDE PRIMARY SCHOOL
RIVERVALE,RIVERVALE PRIMARY SCHOOL
ROSYTH,ROSYTH SCHOOL
RULANG,RULANG PRIMARY SCHOOL
SEMBAWANG,SEMBAWANG PRIMARY SCHOOL
SENG KANG,SENG KANG PRIMARY SCHOOL
SENGKANG GREEN,SENGKANG GREEN PRIMARY SCHOOL
SHUQUN,SHUQUN PRIMARY SCHOOL
SI LING,SI LING PRIMARY SCHOOL
SINGAPORE CHINESE GIRLS’,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL
SOUTH VIEW,SOUTH VIEW PRIMARY SCHOOL
SPRINGDALE,SPRINGDALE PRIMARY SCHOOL
ST. ANDREW’S JUNIOR,ST ANDREW'S SCHOOL (JUNIOR)
ST. ANTHONY’S,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL
ST. ANTHONY’S CANOSSIAN,ST. ANTHONY'S PRIMARY SCHOOL
ST. GABRIEL’S,ST. GABRIEL'S PRIMARY SCHOOL
ST. HILDA’S,ST. HILDA'S PRIMARY SCHOOL
ST. JOSEPH’S INSTITUTION JUNIOR,ST. JOSEPH'S INSTITUTION JUNIOR
ST. MARGARET’S,ST. MARGARET'S SCHOOL (PRIMARY)
ST. STEPHEN’S,ST. STEPHEN'S SCHOOL
