school_name_clean,school_status,inactive_from_year,inactive_to_year,merged_into
EUNOS PRIMARY SCHOOL,merged,2021,,TELOK KURAU PRIMARY SCHOOL
GUANGYANG PRIMARY SCHOOL,merged,2021,,TOWNSVILLE PRIMARY SCHOOL
JUYING PRIMARY SCHOOL,merged,2021,,PIONEER PRIMARY SCHOOL
STAMFORD PRIMARY SCHOOL,merged,2021,,FARRER PARK PRIMARY SCHOOL
DAMAI PRIMARY SCHOOL,relocated_gap,2025,2028,
TOWNSVILLE PRIMARY SCHOOL,relocated_gap,2025,2028,
KRANJI PRIMARY SCHOOL,relocated_gap,2024,2027,
PIONEER PRIMARY SCHOOL,relocated_gap,2021,2024,
